id,beer_image,engname,korname,feature,style,released date,IBU,ABV,about,is_beer,is_brewery_detail,brewery_id,,,,,
1,brewery/1/beer_1.png,WIT MY EX,윗 마이 엑스,"시트러스(Citrus), 향신료(Spicy), 홉(Hoppy)",WITBIER,,,5.5,"더부스 브루잉과 투올의 합작품. 상큼한 시트러스 계열의 향에 드라이 호핑으로 추가된 홉의 쌉싸래한 맛을 느낄 수 있는 밀맥주. 벨지안 효모의 느낌, 스쳐지나가는 밀 맥주 특유의 청량감, 향신료의 스파이시한 맛. 길게 남는 드라이한 홉의 맛은 “전여친/남친”과의 연애를 떠올리기 충분.",1,0,1,,,,,
2,brewery/1/beer_2.png,NETFLIX AND CHILL,집비어,"Creamy, Caramel, Nutty",IRISH RED ALE,,,5.4,"크래프트 비어는 다양한 곳에서 영감을 얻어 만들어진다. 박칼린 연출의 ‘미스터쇼’와 더부스의 콜라보로 탄생한 ‘집비어’는 솔직하고 섹시한, 본능의 유쾌함을 담은 공연 컨셉을 크래프트 비어에 녹여내었다. 유혹적인 루비 색을 띈 ‘집비어’는 견과류의 고소한 맛이 포함된 크리미하고 달콤한 아이리쉬 레드 에일이다.",1,0,1,,,,,
3,brewery/1/beer_3.png,KIEUK IPA,ㅋ IPA,"시트러스(Citrus), 복숭아(Peach), 망고(Mango)",IPA,,,4.5,"소문난 주당! 장기하와 얼굴들과 함께 만든 한정판 맥주. 감귤, 망고, 열대과일의 향이 빵 터지는 세션 IPA. 잔을 비울수록 이름 그대로 자꾸 웃음이 나오는 매력만점 맥주. 장얼의 신곡 ‘ㅋ’을 들으면서 한두잔 들이키다 보면 어느새 내 마음은 ㅋㅋㅋ",1,1,1,,,,,
4,brewery/1/beer_4.png,TAEDONGGANG PALE ALE,대동강 페일에일,"오렌지(Orange), 감귤(Tangerine), 청포도(White grapes)",PALE ALE,,,4.6,"한국 맥주가 북한 대동강 맥주보다 맛 없다’? 북한의 대동강 맥주보다 맛있는 대동강 페일에일. 오렌지, 감귤, 청포도의 상큼한 과일향에 이은 고소한 몰트의 맛, 쌉싸래한 홉의 밸런스. 모두에게 사랑받는 맥주.",1,1,1,,,,,
5,brewery/2/beer_5.png,HUG ME,허그미,"시트러스(Citrus), 향신료(Spicy)",WITBIER,2015.03,,5.5,"엄선한 몰트와 밀 맥아, 코리앤더, 오렌지 껍질을 사용했으며, 국산 생강을 스파이스로 사용하여 신선한 감칠맛을 더해 ‘허그미’라는 이름처럼 폭신폭신한 텍스처의 밀맥주입니다. 황금빛 색상과 부드러운 질감, 상큼한 시트러스 풍미로 에일에 익숙하지 않은 사람들의 입맛까지 사로잡으며, 어떤 음식과도 쉽게 페어링 할 수 있습니다.",1,1,2,,,,,
6,brewery/2/beer_6.png,BE HIGH,비하이,"시트러스(Citrus), 향신료(Spicy), 홉(Hoppy)",IPA,2015.03,,7.0,비 하이는 이름처럼 7%라는 국내 생산 병맥주 중 가장 높은 알코올도수와 진한 몰트향이 매력적인 크래프트 맥주입니다. 신선한 감귤류 과일이 떠오르는 홉 향과 쌉싸름한 끝맛은 당신의 오늘과 내일을 위한 진한 축배를 제안합니다.,1,1,2,,,,,
7,brewery/3/beer_7.png,SLOW IPA,슬로우 IPA,"시트러스(Citrus), 홉(Hoppy)",IPA,,,4.6,"슬로우 아이피에이는 저알콜 맥주로, 호프를 천천히 맥주에 스며들게 하여 완벽한 아로마향과 깔끔한 끝맛을 음미할 수 있도록 양조 하였습니다. 편하게 즐기기에 좋은 맥주입니다.",1,1,3,,,,,
8,brewery/3/beer_8.png,NAPA DUVEL,나파 듀벨,"건포도, 자두, 카라멜",DUVEL,,,7.2,"Napa Valley 피노누아가 담겼던 오크통에서 숙성 시켜 만든 것으로 풍부한 거품과 오묘하고 복잡한 맛의 맥주입니다. 따를 때 깨끗하고 풍성한 거품이 올라오며 약간 불투명하고 마호가니 빛 갈색을 띕니다. 멀드와인, 파이프 담배 그리고 스톤 프룻의 향이나며 말린 체리와 베리 그리고 오크의 향을 곁들인 카라멜맛과 달콤한 곡물의 맛이 납니다. 입에 닿는 느낌은 매우 부드럽고 약간 시큼하며 따뜻한 마무리가 특징입니다.",1,0,3,,,,,
9,brewery/4/beer_9.png,FEATHERWEIGHT,페더급,"열대과일, 시트러스",SESSION IPA,2016.8,40,4.0,"늦여름, 늦더위탈출을 위해 맥파이에서 야심차게 출시한 이번 세션 IPA는, 기존의 IPA보다 더욱 짜릿하고 풍부한 홉의 풍미가 살아있는것이 특징. 가벼운 알콜도수로 한잔이상 마시기에 아무 부담이 없으며 케스케이드, 엘도라도, 시트라로부터 입안가득 느껴지는 폭발적인 열대과일, 시트러스한 풍미가 일품.",,,4,,,,,
10,brewery/4/beer_10.png,BIRDS OF A FEATHER,끼리끼리 난다,"과일, 애플망고",SAISON,2016.6,28,6.8,"Goose Island(구스아일랜드) 와의 콜라보레이션으로 탄생한 '끼리끼리 난다' 는 두 브루어리의 마스코트인 구스(거위) 와 맥파이(까치)를 모티브로, 두 새가 유유상종하는 의미를 전달하고자 '끼리끼리 난다' 로 이름 지었습니다. 전통적인 세종(saison)에 제주에서 자란 싱싱한 애플망고와 산초를 첨가해 세종이스트 특유의 프루티함과 맵싹한맛을 은은하게 받쳐주면서도 더욱 돋보이게 양조, 애플망고에서 오는 약간의 산미와 홉의 풍미가 드라이한 세종과 잘 어우려져 있는것이 특징입니다.",,,4,,,,,
11,brewery/5/beer_11.png,SEOULLESS GINGER,서울리스 진저,"레몬, 생강, 꿀",GOLDEN ALE,,,5.0,"꿀, 레몬즙, 국내산 생강으로 양조한 골든에일 입니다. 브루펍 메뉴인 후마스와 함께 마시면 환상의 궁합! 여름이 끝나가는 무렵, 선선한 바다에서 한잔하기에 좋아요.",,,5,,,,,
12,brewery/5/beer_12.png,HWACHA,화차,"소나무, 과일향",DOUBLE IPA,2016.6,,8.5,"6월에 출시된 화차는 Nugget, Centennial & Chinook 홉이 가득 들어가 깊고 진한 맛과 소나무의 아로마가 느껴진다. 이후 11월 재출시된 화차는 Conan 이스트와 엄청난 양의 Citra 홉을 듬뿍 넣어 과일향이 강하면서, 진한 홉의 아로마가 느껴진다. 힘들고 버거웠던 하루의 끝에서 즐기기 좋은 강하고 진한 맥주다.",,,5,,,,,
13,brewery/5/beer_13.png,WILD IPA,와일드 IPA,열대과일,IPA,2016.3,70,7.1,야생효모로 만든 WILD IPA. 모자익 홉과 와일드 이스트의 만남으로 엄청난 맛! 여러분을 쫄깃하게 만들어줄 녀석입니다.,,,5,,,,,
14,brewery/6/beer_14.png,MOSAIC IPA,모자익 IPA,"열대과일, 복숭아, 꽃",IPA,,61,6.5,"모자익 홉의 열대과일, 복숭아 그리고 꽃 향이 조화를 이루어 강렬한 맥주의 풍미를 느낄 수 있는 카브루 모자익IPA입니다.",,,6,,,,,
15,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,
17,brewery/5/beer_17.png,GALMEGI IPA,갈매기 IPA,,AMERICAN IPA,,65,6.5,"Hoppy, bitter, and clean",,,5,,,,,
18,brewery/6/beer_18.png,화양연화,화양연화,"Malt: Pilsner, Weizen, Orange Peel
Hop: Hallertau, Saaz
Flavor: 부케꽃향",WHEAT ALE,,8.5,5.0,"카브루와 셉템버 브루잉의 첫 콜라보 맥주로 오렌지 쥬스 같은 상큼한 시트러스 향과 벨지안 효모의 꽃 부케 향이 입안 가득 퍼져 누구나 마시기 쉬운 정통 화이트 에일입니다.
",,,6,,,,,
19,brewery/7/beer_19.png,SNOW WHITE PALE ALE,백설공주,생유자 껍질,WHEAT ALE,,15,5.0,전통적인 벨기에식 밀맥주를 크래프트브로스만의 시각으로 재해석하여 신선한 생유자 껍질을 사용하여 브루잉한 맥주입니다. 조밀한 헤드와 함께 갓 짜낸듯한 상큼한 유자향이 기분좋게 입에서 맴돌며 부드러운 바닐라향과 약간의 스파이스가 잘 어울립니다. 라이트 바디에 5%의 낮은 도수로 가볍게 마시기 좋은 계절 맥주입니다. 충북 음성에 위치한 코리아크래프트브류어리의 브루마스터인 마크 헤이먼이 양조하였습니다. ,,,7,,,,,
20,brewery/8/beer_20.png,SURLEIM,설레임,"홉(모자익, 에퀴녹스)",AMERICAN SOUR ALE,,20,5.3,"설레임(year round version)은 드라이홉드 사우어에일입니다. 새콤하면서 홉향이 향긋한 맥주로서 프루티함을 강조한 사우어에일입니다. ""설레임"" 은 첫버전에서 호평받았던 모자익(Mosaic)홉을 주로하여, 청포도느낌의 상큼함을 더하기위한 에퀴녹스(Equinox)홉을 더했습니다. 이전보다 홉의 양을 늘려 좀 더 홉향을 즐 길 수 있도록 설계하였습니다. ",,,8,,,,,
